"n.obs","location","logger","altitude.m.bf","RASTERVALU","altitude.m.pred","altitude.m.diff","N","sd","altitude.m.e_err","altitude.m.rel_err"
4420,"BAOL015X","barodata/BAOL015X_72527.csv",-84.5824703368058,28.2900009155,-8.27766035857381,76.304809978232,4420,0.509189532717312,16.9729844239104,4.4956625230115
4480,"BAOL109X","barodata/BAOL109X_P4024.csv",78.8182967408095,60,18.9808794316394,59.8374173091701,4477,0.509189532717312,16.9729844239104,3.52545055216542
7670,"BAOL004X","barodata/BAOL004X_77561.csv",-60.7494294285096,35.7200012207,-1.89068575094637,58.8587436775632,7667,0.509189532717312,16.9729844239104,3.46778988347194
960,"BAOL849X","barodata/BAOL849X_A9771.csv",97.6505722378009,4.44999980927,-28.7709948749581,126.421567112759,958,1.23602772563282,41.2009241877606,3.06841580874816
3050,"BAOL029X","barodata/BAOL029X_R6549.csv",-72.3484910051691,30.6499996185,-6.24895898967273,66.0995320154964,3054,0.652545349991928,21.7515116663976,3.0388477375395
7420,"BAOL019X","barodata/BAOL019X_77560.csv",-22.0467595521628,70.25,27.7919813211459,49.8387408733087,7425,0.509189532717312,16.9729844239104,2.93635695576903
3480,"BAOL014X","barodata/BAOL014X_R6519.csv",-51.8589028657131,25.8199996948,-10.4009220583585,41.4579808073546,3478,0.519167478019514,17.3055826006505,2.39564201703307
2170,"BAOL845X","barodata/BAOL845X_P2_15488.csv",-80.5597788114833,22.6700000763,-13.1087237745058,67.4510550369775,2167,0.88756501143468,29.585500381156,2.27986865755157
6060,"BAOL027X","barodata/BAOL027X_77554.csv",-10.9624089514,69.1100006104,26.8120153918053,37.7744243432053,6065,0.509189532717312,16.9729844239104,2.22556171618182
780,"BAOL070X","barodata/BAOL070X_B9393.csv",75.0148203532997,6.59000015259,-26.9314084292438,101.946228782543,775,1.37759946546158,45.9199821820527,2.22008424085121
840,"BAOL088X","barodata/BAOL088X_B5548.csv",64.5367587054929,7.38999986649,-26.2437129179512,90.7804716234442,841,1.31686607483903,43.8955358279677,2.06810259656528
3360,"BAOL012X","barodata/BAOL012X_D1095.csv",7.05851276551619,1.96000003815,-30.911447722586,37.9699604881022,3355,0.57709455603973,19.2364852013243,1.97385125664683
4400,"BAOL093X","barodata/BAOL093X_78679.csv",-11.1254995603339,62.7000007629,21.3018532680938,32.4273528284276,4396,0.509189532717312,16.9729844239104,1.91052746049458
4970,"BAOL064X","barodata/BAOL064X_59976.csv",-12.7562652604638,59.9599990845,18.9464938567961,31.7027591172599,4967,0.509189532717312,16.9729844239104,1.86783645854286
2160,"BAOL054X","barodata/BAOL054X_F6598.csv",104.657061433867,94.6399993896,48.7581051949766,55.8989562388903,2165,0.907667703418411,30.255590113947,1.84755795634349
1540,"BAOL071X","barodata/BAOL071X_H4445.csv",49.1469932670725,22.4200000763,-13.3236286986401,62.4706219657126,1539,1.04442923853474,34.8143079511582,1.79439505313029
4020,"BAOL009X","barodata/BAOL009X_78681.csv",-37.8378855458288,27.8899993896,-8.62150954888239,29.2163759969464,4023,0.509189532717312,16.9729844239104,1.7213458321324
5390,"BAOL001X","barodata/BAOL001X_D0939.csv",7.1973818205956,15.6300001144,-19.1604464053763,26.3578282259719,5391,0.509189532717312,16.9729844239104,1.55292832230734
4810,"BAOL053X","barodata/BAOL053X_L2518.csv",-20.3359749423708,43.0600013733,4.41892295281474,24.7548978951856,4814,0.509189532717312,16.9729844239104,1.45848822322093
1080,"BAOL056X","barodata/BAOL056X_R6550.csv",-43.3266161546901,44.25,5.44186921117829,48.7684853658684,1079,1.16803723059484,38.9345743531613,1.25257527984016
5440,"BAOL017X","barodata/BAOL017X_72523.csv",-2.96784007196038,12.1700000763,-22.1347305881465,19.1668905161862,5444,0.509189532717312,16.9729844239104,1.12925871122495
3290,"BAOL002X","barodata/BAOL002X_78678.csv",6.17632907195597,70.9100036621,28.3593334688737,22.1830043969177,3289,0.603864838002641,20.1288279334214,1.10205146918096
8240,"BAOL023X","barodata/BAOL023X_77556.csv",-0.0295181900687916,59.1800003052,18.2759915428348,18.3055097329036,8241,0.509189532717312,16.9729844239104,1.07850860377366
7270,"BAOL846X","barodata/BAOL846X_P2_825.csv",-22.6791362009723,32.3300018311,-4.80479599749567,17.8743402034766,7274,0.509189532717312,16.9729844239104,1.05310532061153
