"name","mu","timestamp","rate","significance"
"BAOL001X_D0939",-0.429156347374919,2011-08-18 12:00:00,-1.58435229877954,0
"BAOL002X_78678",-5.07063658856934,2009-05-31 12:00:00,0.927873654035156,4.51059139705556e-07
"BAOL004X_77561",-0.212525664774224,2014-09-02 12:00:00,4.97830228483837,0
"BAOL005X_72525",-2.28839337664025,2009-06-30 00:00:00,1.0870311944667,1.85949012854181e-08
"BAOL005X_B5551",-1.5710186833213,2013-10-03 12:00:00,-0.448926356946114,0.00606298760514323
"BAOL006X_179843",-7.45007871221096,2017-03-16 12:00:00,-3.18990403551112,0.0019072248230626
"BAOL006X_555569",-8.08638060539334,2019-09-19 00:00:00,103.000377022827,0.811654782901454
"BAOL008X_72528",1.88566757468343,2011-08-06 00:00:00,-0.349840811356765,1.70988907366443e-07
"BAOL009X_78680",-2.53979362767336,2017-12-29 12:00:00,-26.086412786935,2.22044604925031e-16
"BAOL009X_78681",-1.55358621901941,2009-03-06 00:00:00,1.68026043022587,0
"BAOL010X_637930",-5.4964575055438,2019-08-20 12:00:00,-1441.73448890729,0.719988655476231
"BAOL010X_78686",-9.58689059012791,2011-06-16 00:00:00,-0.351565518530637,0.000524557914716839
"BAOL012X_78680",1.84811558853361,2016-03-28 00:00:00,-10.1127478953829,0.000587690553721654
"BAOL012X_D1095",0.790791828659783,2010-06-13 12:00:00,-1.88365839469787,0
"BAOL013A_L2546",-4.72378892815302,2014-04-18 12:00:00,0.228996661250763,0.266989031099851
"BAOL014X_R6519",-1.83290664992121,2015-06-29 00:00:00,2.05383826250036,7.10747016796631e-11
"BAOL015X_72527",1.81372756622057,2012-10-09 00:00:00,3.79807072505968,0
"BAOL016X_77551",5.82897128197622,2011-09-16 12:00:00,-2.22852529883391,0
"BAOL016X_W1666",-259.9026303941,2019-08-25 12:00:00,-7438.78135758625,0
"BAOL017X_72523",0.0832631475241891,2010-01-04 12:00:00,-0.768604656369417,0
"BAOL018X_42112",-1.66888937656162,2010-10-19 00:00:00,12.8812878600596,0.715046351953956
"BAOL019X_77560",-3.40302428492758,2011-05-31 12:00:00,0.898129457788193,0
"BAOL021X_78685",-4.47024834983869,2013-12-15 00:00:00,4.04363522991569,0
"BAOL022X_B5469",-4.57134948945377,2009-09-10 00:00:00,0.0458540413408576,0.789403657333355
"BAOL023X_77556",-8.10133115439637,2015-06-27 12:00:00,10.4638231214676,0
"BAOL023X_L2520",-5.38337714417636,2012-11-30 00:00:00,0.44608002288364,0.276439182236191
"BAOL024X_B1015",0.261399203788959,2008-10-15 12:00:00,-0.527161299573018,0.00569037094181102
"BAOL027X_77554",-2.16959179724645,2015-02-08 12:00:00,5.56748248497699,0
"BAOL028X_78683",-1.01457175387277,2015-01-15 00:00:00,-2.83935016422386,0
"BAOL028X_B5467",0.572397504770153,2012-05-27 00:00:00,0.649248112634136,0.975136398541689
"BAOL029X_R6549",-2.00090740807075,2016-06-12 00:00:00,5.915466446874,0
"BAOL031X_A7250",-4.34730733231117,2012-01-03 12:00:00,-0.523185852572551,9.12929730878531e-06
"BAOL031X_B5554",-5.10879635594489,2018-06-20 12:00:00,-13.508399027202,0.955450353508787
"BAOL031X_T5740",80.8150949926237,2019-03-10 00:00:00,-388.779215640044,0.878119247397114
"BAOL032X_C7836",-0.713531453615643,2011-11-23 00:00:00,478.738816794937,0.703342367951627
"BAOL033X_C6550",-0.837765876432396,2019-07-28 12:00:00,0.826497305520419,0.96876960837118
"BAOL034X_F9154",-0.907598356883526,2012-12-29 12:00:00,-0.141678189016197,0.472240675697048
"BAOL036X_588974",-1.19618050564981,2019-06-08 00:00:00,-14.5037903340258,0.93015153403184
"BAOL036X_72524",-1.94977920694993,2017-12-12 12:00:00,3.81359550236504,0.00119999884637978
"BAOL037X_C7829",-1.42116203291431,2013-09-14 00:00:00,-0.62020201190404,0
"BAOL038X_59979",2.48863683527892,2012-02-13 12:00:00,-0.489781156018768,0.859279738787884
"BAOL040X_171285",-9.27896514074429,2016-06-21 12:00:00,-1.15408677849392,0.00980382847972838
"BAOL040X_555351",-10.1135548544131,2019-01-08 12:00:00,1.7709034133169,0.809068812302184
"BAOL045X_59223",4.21919049585073,2014-04-08 00:00:00,-3.6959332463001,0.937235271237614
"BAOL050X_56819",8.45296665498996,2010-08-07 12:00:00,0.325220368600779,3.17664148319352e-08
"BAOL051X_D2544",0.451290559964672,2014-07-04 12:00:00,-0.496707503127011,0.874030464871256
"BAOL052X_F6620",-0.564075971627736,2011-01-28 12:00:00,-0.478620278072441,0.00162572180920606
"BAOL053X_555339",-4.40773815820851,2019-10-01 00:00:00,-1062.38821382977,0.012691047494815
"BAOL053X_L2518",-0.72157962671968,2017-05-29 12:00:00,1.20815050795786,0.00549335916629723
"BAOL054X_F6598",-10.6834740494406,2012-06-24 00:00:00,-23.5673413210719,0
"BAOL055X_555350",-1.84852908146626,2019-09-06 12:00:00,-93.9427180113966,0.947069205728043
"BAOL056X_D0924",-2.43251589736852,2013-07-14 12:00:00,-1.76100925471635,0
"BAOL056X_R6550",0.0126998906662679,2018-07-12 00:00:00,6.38503145540319,4.01012556494607e-13
"BAOL057X_78680",2.09159253554848,2013-02-05 00:00:00,-0.408591823841298,0.905886450181631
"BAOL064X_555340",-6.53484736700882,2019-09-17 12:00:00,43.6537803770321,0.910564822333455
"BAOL064X_59976",-2.32506559583825,2014-02-11 00:00:00,2.85243386890637,3.44169137633799e-15
"BAOL064X_A7255",-5.26532072098517,2019-03-04 12:00:00,847.17744170602,0.170419662019203
