"FILE","N","IQR","WISK","PERC.95"
"BAOL551X_B_005F9.csv",107,0.557769366666719,2.08166666666682,1.70205094333341
"BAOL516X_B_002A0.csv",159,0.649999999999864,2.20000000000016,1.70321411500005
"BAOL032X_C7836.csv",868,0.623123524999954,2.40000000000015,1.804125
"BAOL031X_T5740.csv",57,0.814713500000039,2.77991695000003,2.58679740000005
"BAOL036X_588974.csv",359,0.842966286111107,3.00381118888896,2.53902671500012
"BAOL087A_555349.csv",360,0.820722325000077,3.10880360384613,2.50090269437524
"BAOL064X_555340.csv",406,0.871129012499892,3.14312972222217,2.52392331250022
"BAOL831X_P2_16667.csv",1171,0.890168642307287,3.42782676923082,2.74511368750015
"BAOL512X_B_00603.csv",212,0.976426942628137,3.44409780000001,2.49804782868564
"BAOL811X_P2_15634.csv",1554,0.915989749999852,3.55827243846147,3.04218967115389
"BAOL804X_P2_15641.csv",853,1.09704709999983,3.56150720000005,2.57880178499996
"BAOL053X_555339.csv",421,0.950898833333326,3.63052126666662,2.82050232499989
"BAOL805X_P2_15643.csv",849,1.02029505000019,3.63583460000018,2.54136038000011
"BAOL837X_P2_15695.csv",729,0.997778499999868,3.81826665000017,3.53400979999996
"BAOL010X_637930.csv",318,0.98290769166681,3.83012298888895,3.47429324249986
"BAOL808X_P2_15637.csv",849,1.09732190384614,3.85003349999988,2.71014343998413
"BAOL105X_613189.csv",458,1.01319628055569,3.96533976794888,2.859585966111
"BAOL555X_B_004B7.csv",1031,1.19686769999976,4.03311000000008,3.06851384999999
"BAOL829X_P2_15611.csv",1339,1.04106822115375,4.12225584999999,2.9431532224999
"BAOL802X_P2_15659.csv",853,1.11967870000012,4.16073710000001,2.71139982999992
"BAOL801X_P2_15706.csv",854,1.10681290000002,4.20258284545446,2.6955144112501
"BAOL006X_555569.csv",421,1.10613918461513,4.20557101666668,2.93504571388917
"BAOL809X_P2_15697.csv",849,1.18349747499997,4.2647845454544,2.89189578
"BAOL096X_177936.csv",1753,1.0975099166667,4.26799130000018,3.36555553999995
"BAOL515X_B_0029D.csv",1089,1.07685097692297,4.27914699999997,3.37456764000017
"BAOL806X_P2_15633.csv",849,1.16299239999978,4.2851404999999,2.70360120000012
"BAOL552X_B_0078D.csv",806,1.08057116515144,4.29313888888896,4.22374398750007
"BAOL840X_P2_15468.csv",1143,1.10175936666667,4.33558440000024,2.94670476162401
"BAOL830X_P2_15562.csv",3223,1.13045907500003,4.44759486666658,3.35026139596158
"BAOL545X_B_006DC.csv",189,1.17558333333329,4.47663393333323,3.39054692487172
"BAOL107X_637550.csv",190,1.29840967083325,4.4798869,3.9502412133333
"BAOL091X_73922.csv",961,1.17499999999984,4.5100000000001,3.32000000000005
"BAOL089X_362591.csv",3718,1.13875463894232,4.5118940000001,3.93833510500015
"BAOL554X_B_004BB.csv",1072,1.28512367083357,4.51968315714322,3.42518957944429
"BAOL545X_B_004B4.csv",498,1.41924564999988,4.61816005000014,3.35746074375009
"BAOL520X_B_B2134.csv",1319,1.17557132500013,4.65023920000004,3.76477299249995
"BAOL800X_P2_15615.csv",854,1.33472234711542,4.65227540000001,3.16916076249985
"BAOL550X_B_B2136.csv",638,1.21282556250006,4.65539007500013,12.1335794499998
"BAOL518X_B_004C4.csv",921,1.32799999999997,4.66620467499979,4.12216666666677
"BAOL837X_P2_15430.csv",813,1.23928529999966,4.66923789999987,3.40341868000005
"BAOL072X_180758.csv",4423,1.1888540096154,4.69988224999997,4.65107920403855
"BAOL527X_B_B2130.csv",1190,1.22971023750009,4.70954545454538,3.81328352499999
"BAOL546X_B_0078C.csv",722,1.26876841666652,4.73599999999993,3.61625680166676
"BAOL807X_P2_15709.csv",849,1.20956532500009,4.73952970000005,2.8416277300001
"BAOL810X_P2_15618.csv",3135,1.20683704455126,4.76364255384618,3.90508823027745
"BAOL101X_558536.csv",654,1.21710930747635,4.76784501666674,4.08724117250003
"BAOL845X_P2_15488.csv",2167,1.22846864999997,4.77321709583333,3.67240869000004
"BAOL540X_B_00612.csv",1072,1.25021942916669,4.78912500000024,3.41018095993608
"BAOL544X_B_0078B.csv",810,1.27682111590923,4.81140783333353,3.54682783638901
"BAOL028X_B5467.csv",2628,1.21007270000013,4.82000000000005,3.64893750000011
"BAOL064X_A7255.csv",1607,1.2357671310557,4.8554959999999,3.47114051916671
"BAOL031X_A7250.csv",5233,1.22050000000002,4.85963814999997,4.01353783384615
"BAOL817X_P2_16659.csv",3081,1.22103179999954,4.86104725769258,4.04247234230786
"BAOL103X_T5756.csv",677,1.30301503333339,4.96766666666679,3.97723574999984
"BAOL522X_B_B2120.csv",1662,1.26749999999979,4.98162878787866,3.921210695
"BAOL847X_P2_15664.csv",3131,1.29146506346149,5.0079403000002,3.60176341025638
"BAOL031X_B5554.csv",1042,1.28165799230769,5.03855862878993,3.94349234250029
"BAOL839X_P2_15707.csv",1636,1.2836836875001,5.1251106499999,4.27383576682688
"BAOL087X_179808.csv",3903,1.29918722499988,5.13736557499993,4.15098728000009
"BAOL538X_B_002A2.csv",157,1.39000000000021,5.14999999999975,31.5570444407692
"BAOL530X_B_00710.csv",721,1.34918333333349,5.15134939999996,4.1474999999997
"BAOL040X_555351.csv",1061,1.45772395000006,5.19207960000006,3.8980243346154
"BAOL528X_B_B2152.csv",3,2.59999999999991,5.19999999999982,4.93999999999983
"BAOL553X_B_004BA.csv",763,1.44836496944475,5.24805780000014,3.43578122222223
"BAOL816X_P2_16672.csv",1193,1.36107388461522,5.28364212115366,4.60697741000024
"BAOL547X_B_004AC.csv",930,1.56263155138888,5.31266666666659,8.99352095375004
"BAOL535X_B_00556.csv",843,1.53010828461535,5.34456110000019,3.86068759749999
"BAOL803X_P2_15640.csv",853,1.44350914999995,5.36167685000021,3.75006851500012
"BAOL524X_B_004B9.csv",721,1.40520130000004,5.36758333333376,4.46695833333342
