"","altitude.m.bf"
"barometer/BAOL523X_B_004B6.csv",45.6208137264866
"barometer/BAOL524X_B_004B9.csv",37.1792393866774
"barometer/BAOL525X_B_004B8.csv",39.6413408550765
"barometer/BAOL526X_B_00711.csv",38.4327490487784
"barometer/BAOL527X_B_B2130.csv",42.9974553901764
"barometer/BAOL528X_B_B2128.csv",46.010274856039
"barometer/BAOL528X_B_B2152.csv",-49.2187029155695
"barometer/BAOL529X_B_B2121.csv",73.1238796307182
"barometer/BAOL530X_B_00710.csv",43.0302432880668
"barometer/BAOL531X_B_00559.csv",33.3773040312316
"barometer/BAOL532X_B_004AD.csv",28.8263640373648
"barometer/BAOL533X_B_005FD.csv",-14.0606940789562
"barometer/BAOL534X_B_00553.csv",-17.4840430067714
"barometer/BAOL535X_B_00556.csv",-17.3210518908998
"barometer/BAOL536X_B_0055A.csv",-20.4174472447763
"barometer/BAOL537X_B_002A1.csv",-17.9363300007148
"barometer/BAOL538X_B_002A2.csv",-39.4644773568783
"barometer/BAOL538X_B_00554.csv",-34.3751108733229
"barometer/BAOL539X_B_B2122.csv",18.4355742481312
"barometer/BAOL540X_B_00612.csv",-15.3642803585836
"barometer/BAOL540X_B_B2116.csv",-32.7938374993594
"barometer/BAOL541X_B_00640.csv",42.2081179287768
"barometer/BAOL542X_B_002A5.csv",-36.8862116669893
"barometer/BAOL543X_B_002A8.csv",23.9569469026719
"barometer/BAOL544X_B_002A6.csv",18.5991283897238
"barometer/BAOL544X_B_0078B.csv",30.1082041639802
"barometer/BAOL545X_B_004B4.csv",-2.62099799391973
"barometer/BAOL545X_B_006DC.csv",46.1838288965737
"barometer/BAOL546X_B_0078C.csv",20.7409025187487
"barometer/BAOL547X_B_004AC.csv",7.23550306160912
"barometer/BAOL547X_B_B2137.csv",-11.2070439074876
"barometer/BAOL548X_B_0055B.csv",11.0646757000093
"barometer/BAOL548X_B_B2112.csv",-4.43669027178937
"barometer/BAOL549X_B_005F8.csv",4.88495416240872
"barometer/BAOL549X_B_B2138.csv",3.8895340872194
"barometer/BAOL550X_B_004C3.csv",17.6314704174099
"barometer/BAOL550X_B_B2136.csv",11.2417340933549
"barometer/BAOL551X_B_004AF.csv",27.5044398742571
"barometer/BAOL551X_B_005F9.csv",7.64667674403742
"barometer/BAOL551X_B_B2135.csv",11.2417340933549
"barometer/BAOL552X_B_002A7.csv",-3.62068795183089
"barometer/BAOL552X_B_0078D.csv",7.68339167965538
"barometer/BAOL553X_B_004BA.csv",4.70618894566472
"barometer/BAOL554X_B_004BB.csv",-3.85325512546877
"barometer/BAOL555X_B_004B7.csv",-7.19022631929315
"barometer/BAOL800X_P2_15615.csv",-15.4505006931913
"barometer/BAOL801X_P2_15706.csv",-17.4783481401601
"barometer/BAOL802X_P2_15659.csv",-20.6523006276117
"barometer/BAOL803X_P2_15640.csv",-24.448141795539
"barometer/BAOL804X_P2_15641.csv",-21.6657676873655
"barometer/BAOL805X_P2_15643.csv",-20.1455301362592
"barometer/BAOL806X_P2_15633.csv",-18.3674846575304
"barometer/BAOL807X_P2_15709.csv",-18.616761653605
"barometer/BAOL808X_P2_15637.csv",-20.9015229771082
"barometer/BAOL809X_P2_15697.csv",-18.3674846575304
"barometer/BAOL810X_P2_15618.csv",-19.6445159619473
"barometer/BAOL811X_P2_15634.csv",40.3786581584794
"barometer/BAOL813X_P2_15555.csv",-23.6317149856317
"barometer/BAOL814X_P2_16670.csv",-27.7975924552808
