ppnt_cde;Lambert72_X;Lambert72_Y
BAOL802X;176839,145;240765,928
BAOL803X;176836,411;240768,578
BAOL804X;176828,781;240775,377
BAOL805X;176800,98;240799,67
BAOL806X;176828,553;240956,815
BAOL807X;176917,831;241036,117
BAOL808X;177098,912;241138,187
BAOL809X;177165,427;241191,621
BAOL810X;162865,39;201082,07
BAOL811X;231860,669;193885,4
BAOL812X;61124,33;204676,24
BAOL813X;146830,603;205248,16
BAOL814X;146156,45;204669,351
BAOL815X;146391,733;203727,525
BAOL816X;145448,177;202168,754
BAOL817X;146528,484;203170,204
BAOL818X;146736,671;203157,589
BAOL819X;145319,72;203347,348
BAOL820X;145999,662;203321,124
BAOL821X;191421,19;198803,49
BAOL822X;117230;189848,35
BAOL823X;117196,72;189705,75
BAOL824X;117308,05;189627,01
BAOL825X;146473,347;202940,56
BAOL826X;177792,678;208924,312
BAOL827X;185855,194;180082,393
BAOL828X;221283,087;198717,832
BAOL829X;221680,735;198616,73
BAOL830X;221191,312;199281,097
BAOL831X;146259,467;204688,028
BAOL832X;119056,69;161508,02
BAOL833X;223765,95;205700,31
BAOL834X;146259,467;204688,028
BAOL835X;132108,64;199429,93
BAOL836X;191421,19;198803,49
BAOL837X;220586,464;175422,004
BAOL838X;160533,5;222003
BAOL839X;93031,558;217766,205
BAOL840X;197733,866;169665,616
BAOL841X;168969,532;177855,336
BAOL842X;184589,52;186224,958
BAOL843X;54372,468;216602,982
BAOL844X;243185,517;207539,822
BAOL845X;165402,6495;177917,8032
BAOL846X;242727,048;208038,548
BAOL847X;169478,4;166091,148
BAOL848X;160172,393;167114,446
BAOL849X;26087,807;197013,288
BAOL850X;78699,495;227444,097
BAOL900X;51913;191193
BAOL901X;69922;225672
