Peilpunt;X_Lam72_;Y_Lam72_;RASTERVALU
BAOL825X;146473,34700000000;202940,56000000000;1,86000001431
BAOL826X;177792,67800000000;208924,31200000000;9,00000000000
BAOL827X;185855,19400000000;180082,39300000000;28,68000030520
BAOL828X;221283,08700000000;198717,83200000000;68,47977447510
BAOL829X;221680,73500000000;198616,73000000000;68,48000335690
BAOL830X;221191,31200000000;199281,09700000000;66,88999938960
BAOL831X;146259,46700000000;204688,02800000000;3,35999989510
BAOL832X;119056,69000000000;161508,02000000000;41,59999847410
BAOL833X;223765,95000000000;205700,31000000000;53,97000122070
BAOL834X;146259,46700000000;204688,02800000000;3,35999989510
BAOL835X;132108,64000000000;199429,93000000000;4,15000009537
BAOL836X;191421,19000000000;198803,49000000000;14,94999980930
BAOL837X;220586,46400000000;175422,00400000000;37,43000030520
BAOL838X;160533,50000000000;222003,00000000000;15,92000007630
BAOL839X;93031,55800000000;217766,20500000000;2,34999990463
BAOL840X;197733,86600000000;169665,61600000000;28,97999954220
BAOL841X;168969,53200000000;177855,33600000000;23,10000038150
BAOL842X;184589,52000000000;186224,95800000000;14,35000038150
BAOL843X;54372,46800000000;216602,98200000000;5,59999990463
BAOL844X;243185,51700000000;207539,82200000000;32,79000091550
BAOL845X;165402,64900000000;177917,80300000000;22,67000007630
BAOL846X;242727,04800000000;208038,54800000000;32,33000183110
BAOL847X;169478,40000000000;166091,14800000000;28,28000068660
BAOL848X;160172,39300000000;167114,44600000000;70,58000183110
BAOL849X;26087,80700000000;197013,28800000000;4,44999980927
BAOL850X;78699,49500000000;227444,09700000000;4,47663402557
BAOL851X;109810,00000000000;163492,00000000000;63,40999984740
BAOL852X;143429,52400000000;155341,92000000000;74,69999694820
BAOL853X;135962,89000000000;161882,36000000000;31,15999984740
BAOL854X;101290,00000000000;195320,00000000000;5,84000015259
BAOL855X;99388,84000000000;172580,89000000000;15,63000011440
BAOL856X;95713,51200000000;170452,20800000000;9,64999961853
BAOL857X;160172,39300000000;167114,44600000000;70,58000183110
BAOL858X;153769,22500000000;161749,41900000000;87,09999847410
BAOL859X;37630,55000000000;197016,16000000000;2,77999997139
BAOL860X;158392,83700000000;184259,45600000000;7,73000001907
BAOL861X;179852,33900000000;184577,37700000000;12,17000007630
BAOL862X;135962,89000000000;161882,36000000000;31,15999984740
BAOL900X;51913,00000000000;191193,00000000000;5,38000011444
BAOL901X;69922,00000000000;225672,00000000000;8,35000038147
